Product Name,Model,Price (BDT),Online Image Link (search to pick image)
LED Makeup Mirror,BTY-001,650৳,https://www.daraz.com.bd/catalog/?q=LED+Makeup+Mirror
Makeup Organizer,BTY-002,450৳,https://www.daraz.com.bd/catalog/?q=Makeup+Organizer
Cosmetic Bag,BTY-003,250৳,https://www.daraz.com.bd/catalog/?q=Cosmetic+Bag
Facial Ice Roller,BTY-004,350৳,https://www.daraz.com.bd/catalog/?q=Facial+Ice+Roller
Face Massager (Mini),BTY-005,550৳,https://www.daraz.com.bd/catalog/?q=Face+Massager+%28Mini%29
Blackhead Remover,BTY-006,300৳,https://www.daraz.com.bd/catalog/?q=Blackhead+Remover
Nail Kit,BTY-007,350৳,https://www.daraz.com.bd/catalog/?q=Nail+Kit
Makeup Brush Set,BTY-008,400৳,https://www.daraz.com.bd/catalog/?q=Makeup+Brush+Set
Perfume Atomizer (Travel),BTY-009,200৳,https://www.daraz.com.bd/catalog/?q=Perfume+Atomizer+%28Travel%29
Trimmer,BTY-010,550৳,https://www.daraz.com.bd/catalog/?q=Trimmer
Foot File,BTY-011,150৳,https://www.daraz.com.bd/catalog/?q=Foot+File
Face Cleansing Brush,BTY-012,350৳,https://www.daraz.com.bd/catalog/?q=Face+Cleansing+Brush
Beauty Storage Box,BTY-013,450৳,https://www.daraz.com.bd/catalog/?q=Beauty+Storage+Box
Hair Straightener,BTY-014,"1,300৳",https://www.daraz.com.bd/catalog/?q=Hair+Straightener
Electric Toothbrush,BTY-015,"1,100৳",https://www.daraz.com.bd/catalog/?q=Electric+Toothbrush
