Product Name,Model,Price (BDT),Online Image Link (search to pick image)
Phone Case,MOB-001,250৳,https://www.daraz.com.bd/catalog/?q=Phone+Case
Tempered Glass,MOB-002,150৳,https://www.daraz.com.bd/catalog/?q=Tempered+Glass
Charging Cable,MOB-003,200৳,https://www.daraz.com.bd/catalog/?q=Charging+Cable
Car Charger,MOB-004,300৳,https://www.daraz.com.bd/catalog/?q=Car+Charger
Phone Holder,MOB-005,250৳,https://www.daraz.com.bd/catalog/?q=Phone+Holder
Tablet Holder,MOB-006,350৳,https://www.daraz.com.bd/catalog/?q=Tablet+Holder
Selfie Stick,MOB-007,300৳,https://www.daraz.com.bd/catalog/?q=Selfie+Stick
Ring Light (Mini),MOB-008,450৳,https://www.daraz.com.bd/catalog/?q=Ring+Light+%28Mini%29
Pop Socket,MOB-009,150৳,https://www.daraz.com.bd/catalog/?q=Pop+Socket
Cable Protector,MOB-010,100৳,https://www.daraz.com.bd/catalog/?q=Cable+Protector
SD Card Reader,MOB-011,300৳,https://www.daraz.com.bd/catalog/?q=SD+Card+Reader
OTG Adapter,MOB-012,200৳,https://www.daraz.com.bd/catalog/?q=OTG+Adapter
USB Hub,MOB-013,400৳,https://www.daraz.com.bd/catalog/?q=USB+Hub
Mouse,MOB-014,350৳,https://www.daraz.com.bd/catalog/?q=Mouse
Mouse Pad,MOB-015,150৳,https://www.daraz.com.bd/catalog/?q=Mouse+Pad
Keyboard Cover,MOB-016,200৳,https://www.daraz.com.bd/catalog/?q=Keyboard+Cover
Cleaning Kit (Electronics),MOB-017,250৳,https://www.daraz.com.bd/catalog/?q=Cleaning+Kit+%28Electronics%29
Laptop Stand,MOB-018,"1,200৳",https://www.daraz.com.bd/catalog/?q=Laptop+Stand
Cooling Pad,MOB-019,"1,100৳",https://www.daraz.com.bd/catalog/?q=Cooling+Pad
