Product Name,Model,Price (BDT),Online Image Link (search to pick image)
"Vegetable Chopper (Manual, Multi-blade)",KIT-001,350৳,https://www.daraz.com.bd/catalog/?q=Vegetable+Chopper+%28Manual%2C+Multi-blade%29
Garlic Press,KIT-002,150৳,https://www.daraz.com.bd/catalog/?q=Garlic+Press
Oil Spray Bottle,KIT-003,200৳,https://www.daraz.com.bd/catalog/?q=Oil+Spray+Bottle
Egg Boiler (Electric),KIT-004,650৳,https://www.daraz.com.bd/catalog/?q=Egg+Boiler+%28Electric%29
Food Storage Container (Set),KIT-005,450৳,https://www.daraz.com.bd/catalog/?q=Food+Storage+Container+%28Set%29
Lunch Box (Insulated),KIT-006,400৳,https://www.daraz.com.bd/catalog/?q=Lunch+Box+%28Insulated%29
Vacuum Food Bags (Set),KIT-007,300৳,https://www.daraz.com.bd/catalog/?q=Vacuum+Food+Bags+%28Set%29
Sink Organizer,KIT-008,350৳,https://www.daraz.com.bd/catalog/?q=Sink+Organizer
Dish Drying Rack,KIT-009,550৳,https://www.daraz.com.bd/catalog/?q=Dish+Drying+Rack
Silicone Spoon Rest,KIT-010,150৳,https://www.daraz.com.bd/catalog/?q=Silicone+Spoon+Rest
Measuring Cups (Set),KIT-011,200৳,https://www.daraz.com.bd/catalog/?q=Measuring+Cups+%28Set%29
Measuring Spoons (Set),KIT-012,150৳,https://www.daraz.com.bd/catalog/?q=Measuring+Spoons+%28Set%29
Spice Rack,KIT-013,400৳,https://www.daraz.com.bd/catalog/?q=Spice+Rack
Knife Sharpener,KIT-014,250৳,https://www.daraz.com.bd/catalog/?q=Knife+Sharpener
Vegetable Peeler,KIT-015,100৳,https://www.daraz.com.bd/catalog/?q=Vegetable+Peeler
Ice Cube Tray (Silicone),KIT-016,150৳,https://www.daraz.com.bd/catalog/?q=Ice+Cube+Tray+%28Silicone%29
Silicone Baking Tools (Set),KIT-017,450৳,https://www.daraz.com.bd/catalog/?q=Silicone+Baking+Tools+%28Set%29
Portable Blender (USB),KIT-018,750৳,https://www.daraz.com.bd/catalog/?q=Portable+Blender+%28USB%29
Electric Milk Frother,KIT-019,400৳,https://www.daraz.com.bd/catalog/?q=Electric+Milk+Frother
