Product Name,Model,Price (BDT),Online Image Link (search to pick image)
Building Blocks,KID-001,450৳,https://www.daraz.com.bd/catalog/?q=Building+Blocks
Drawing Board (Magic),KID-002,350৳,https://www.daraz.com.bd/catalog/?q=Drawing+Board+%28Magic%29
LCD Writing Tablet,KID-003,400৳,https://www.daraz.com.bd/catalog/?q=LCD+Writing+Tablet
Coloring Set,KID-004,250৳,https://www.daraz.com.bd/catalog/?q=Coloring+Set
Puzzle Game,KID-005,300৳,https://www.daraz.com.bd/catalog/?q=Puzzle+Game
Rubik's Cube,KID-006,200৳,https://www.daraz.com.bd/catalog/?q=Rubik%27s+Cube
Bubble Gun,KID-007,350৳,https://www.daraz.com.bd/catalog/?q=Bubble+Gun
Cartoon Water Bottle,KID-008,300৳,https://www.daraz.com.bd/catalog/?q=Cartoon+Water+Bottle
School Lunch Box,KID-009,400৳,https://www.daraz.com.bd/catalog/?q=School+Lunch+Box
Cartoon Night Lamp,KID-010,450৳,https://www.daraz.com.bd/catalog/?q=Cartoon+Night+Lamp
Piggy Bank,KID-011,300৳,https://www.daraz.com.bd/catalog/?q=Piggy+Bank
Educational Flash Cards,KID-012,250৳,https://www.daraz.com.bd/catalog/?q=Educational+Flash+Cards
Fidget Toys,KID-013,200৳,https://www.daraz.com.bd/catalog/?q=Fidget+Toys
Pop It Toys,KID-014,150৳,https://www.daraz.com.bd/catalog/?q=Pop+It+Toys
Soft Plush Toys,KID-015,450৳,https://www.daraz.com.bd/catalog/?q=Soft+Plush+Toys
STEM Learning Toys,KID-016,"1,200৳",https://www.daraz.com.bd/catalog/?q=STEM+Learning+Toys
