Product Name,Model,Price (BDT),Online Image Link (search to pick image)
Gift Boxes (Set),GFT-001,300৳,https://www.daraz.com.bd/catalog/?q=Gift+Boxes+%28Set%29
Artificial Rose Box,GFT-002,550৳,https://www.daraz.com.bd/catalog/?q=Artificial+Rose+Box
Teddy Bear (Medium),GFT-003,450৳,https://www.daraz.com.bd/catalog/?q=Teddy+Bear+%28Medium%29
Moon Lamp,GFT-004,650৳,https://www.daraz.com.bd/catalog/?q=Moon+Lamp
Mini Photo Frame,GFT-005,250৳,https://www.daraz.com.bd/catalog/?q=Mini+Photo+Frame
Greeting Cards,GFT-006,100৳,https://www.daraz.com.bd/catalog/?q=Greeting+Cards
Chocolate Box,GFT-007,400৳,https://www.daraz.com.bd/catalog/?q=Chocolate+Box
Mug Gift Set,GFT-008,350৳,https://www.daraz.com.bd/catalog/?q=Mug+Gift+Set
Keychain Gift Set,GFT-009,200৳,https://www.daraz.com.bd/catalog/?q=Keychain+Gift+Set
Name Keychain,GFT-010,150৳,https://www.daraz.com.bd/catalog/?q=Name+Keychain
Mini Snow Globe,GFT-011,350৳,https://www.daraz.com.bd/catalog/?q=Mini+Snow+Globe
Decorative Candle,GFT-012,250৳,https://www.daraz.com.bd/catalog/?q=Decorative+Candle
Surprise Box,GFT-013,500৳,https://www.daraz.com.bd/catalog/?q=Surprise+Box
Crystal Lamp,GFT-014,"1,400৳",https://www.daraz.com.bd/catalog/?q=Crystal+Lamp
Perfume Gift Set,GFT-015,"1,200৳",https://www.daraz.com.bd/catalog/?q=Perfume+Gift+Set
