Product Name,Model,Price (BDT),Online Image Link (search to pick image)
Mini Rechargeable Fan,SEG-001,325৳,https://www.daraz.com.bd/catalog/?q=Mini+Rechargeable+Fan
Neck Fan,SEG-002,450৳,https://www.daraz.com.bd/catalog/?q=Neck+Fan
Foldable Desk Fan,SEG-003,575৳,https://www.daraz.com.bd/catalog/?q=Foldable+Desk+Fan
"Power Bank 10,000mAh",SEG-004,"1,000৳",https://www.daraz.com.bd/catalog/?q=Power+Bank+10%2C000mAh
"Power Bank 20,000mAh",SEG-005,"1,550৳",https://www.daraz.com.bd/catalog/?q=Power+Bank+20%2C000mAh
Fast Charger 20W,SEG-006,400৳,https://www.daraz.com.bd/catalog/?q=Fast+Charger+20W
Charging Dock,SEG-007,475৳,https://www.daraz.com.bd/catalog/?q=Charging+Dock
Wireless Charger,SEG-008,650৳,https://www.daraz.com.bd/catalog/?q=Wireless+Charger
Bluetooth Speaker (Mini),SEG-009,700৳,https://www.daraz.com.bd/catalog/?q=Bluetooth+Speaker+%28Mini%29
Bluetooth Earbuds,SEG-010,525৳,https://www.daraz.com.bd/catalog/?q=Bluetooth+Earbuds
Neckband Earphones,SEG-011,450৳,https://www.daraz.com.bd/catalog/?q=Neckband+Earphones
RGB Night Light,SEG-012,325৳,https://www.daraz.com.bd/catalog/?q=RGB+Night+Light
Motion Sensor Light,SEG-013,450৳,https://www.daraz.com.bd/catalog/?q=Motion+Sensor+Light
Rechargeable Emergency Light,SEG-014,550৳,https://www.daraz.com.bd/catalog/?q=Rechargeable+Emergency+Light
USB LED Light,SEG-015,200৳,https://www.daraz.com.bd/catalog/?q=USB+LED+Light
Electric Lighter (USB Arc),SEG-016,325৳,https://www.daraz.com.bd/catalog/?q=Electric+Lighter+%28USB+Arc%29
Digital Alarm Clock,SEG-017,450৳,https://www.daraz.com.bd/catalog/?q=Digital+Alarm+Clock
Digital Thermometer,SEG-018,400৳,https://www.daraz.com.bd/catalog/?q=Digital+Thermometer
Mini Vacuum Cleaner (Desk),SEG-019,650৳,https://www.daraz.com.bd/catalog/?q=Mini+Vacuum+Cleaner+%28Desk%29
Air Blower (Mini),SEG-020,525৳,https://www.daraz.com.bd/catalog/?q=Air+Blower+%28Mini%29
Mini Humidifier,SEG-021,575৳,https://www.daraz.com.bd/catalog/?q=Mini+Humidifier
Aroma Diffuser,SEG-022,650৳,https://www.daraz.com.bd/catalog/?q=Aroma+Diffuser
Mini Air Cooler,SEG-023,"1,600৳",https://www.daraz.com.bd/catalog/?q=Mini+Air+Cooler
